Date,Price,Open,High,Low,Vol.,Change %,pred
2020-10-13,23.2,23.7,24.6,22.7,3670000,-0.0085,1.0
2020-10-12,23.4,26.1,26.8,23.3,4120000,-0.093,1.0
2020-10-11,25.8,23.6,25.8,23.5,8250000,0.0979,1.0
2020-10-08,23.5,23.5,24.0,23.1,2680000,0.0086,1.0
2020-10-07,23.3,23.4,24.4,22.8,2970000,-0.0043,1.0
2020-10-06,23.4,23.3,25.0,23.0,6720000,0.013,1.0
2020-10-05,23.1,23.0,23.9,22.8,4840000,0.0132,1.0
2020-10-04,22.8,21.2,23.0,20.8,3230000,0.0857,1.0
2020-10-01,21.0,21.7,22.4,20.7,2850000,-0.0323,1.0
2020-09-30,21.7,22.8,23.2,21.2,2700000,-0.0398,1.0
2020-09-29,22.6,21.6,22.9,21.1,2740000,0.0561,1.0
2020-09-28,21.4,23.0,23.2,20.8,3230000,-0.0655,1.0
2020-09-27,22.9,23.9,25.0,22.0,5610000,-0.0255,1.0
2020-09-24,23.5,22.8,24.0,21.1,5010000,0.0538,1.0
2020-09-23,22.3,20.7,22.4,20.5,6500000,0.0931,1.0
2020-09-22,20.4,19.1,20.7,18.4,4720000,0.0681,1.0
2020-09-21,19.1,18.5,20.0,17.7,7150000,0.0495,1.0
2020-09-20,18.2,16.9,18.2,16.9,6220000,0.0964,1.0
2020-09-17,16.6,16.4,16.8,16.0,1990000,0.0122,1.0
2020-09-16,16.4,16.8,17.4,16.2,2530000,-0.0061,1.0
2020-09-15,16.5,16.0,16.7,15.6,2069999,0.0313,1.0
2020-09-14,16.0,15.0,16.3,15.0,2480000,0.0667,1.0
2020-09-13,15.0,15.2,15.5,14.9,942450,-0.0066,1.0
2020-09-10,15.1,15.5,15.5,14.8,748050,-0.0066,1.0
2020-09-09,15.2,14.7,15.5,14.5,1300000,0.034,1.0
2020-09-08,14.7,14.6,14.8,14.5,832520,0.0068,1.0
2020-09-07,14.6,14.6,14.7,14.4,325310,0.0139,1.0
2020-09-06,14.4,14.7,14.9,14.2,771430,-0.0204,1.0
2020-09-03,14.7,15.3,15.4,14.6,888220,-0.0329,1.0
2020-09-02,15.2,15.3,15.5,15.0,842810,0.0066,1.0
2020-09-01,15.1,14.8,15.2,14.8,629490,0.0203,1.0
2020-08-31,14.8,15.4,15.5,14.7,1390000,-0.0692,1.0
2020-08-26,15.9,15.7,16.1,15.1,1770000,0.0325,1.0
2020-08-25,15.4,16.0,16.0,15.0,1200000,-0.0314,1.0
2020-08-24,15.9,16.5,16.7,15.8,1240000,-0.0305,1.0
2020-08-23,16.4,16.2,17.0,15.9,1340000,0.0314,1.0
2020-08-20,15.9,16.4,16.4,15.6,1960000,-0.0245,1.0
2020-08-19,16.3,17.3,17.5,16.0,2290000,-0.0355,1.0
2020-08-18,16.9,17.2,17.4,16.6,1800000,0.006,1.0
2020-08-17,16.8,18.0,18.3,16.6,3420000,-0.0615,1.0
2020-08-16,17.9,17.2,18.3,17.1,4300000,0.0719,1.0
2020-08-13,16.7,15.3,16.7,15.3,4480000,0.0987,1.0
2020-08-12,15.2,122.1,15.6,15.0,1580000,0.0066,1.0
2020-08-10,15.1,16.1,16.3,15.0,2270000,-0.0562,1.0
2020-08-09,16.0,16.1,16.8,15.5,3030000,-0.0062,1.0
2020-08-06,16.1,15.5,16.9,15.5,4630000,0.0455,1.0
2020-08-05,15.4,14.5,15.5,14.5,3840000,0.0621,1.0
2020-08-04,14.5,14.9,14.9,14.1,1810000,-0.0268,1.0
2020-08-03,14.9,14.8,15.1,14.7,2160000,0.0136,1.0
2020-07-30,14.7,14.0,15.0,13.9,2960000,0.05,1.0
2020-07-29,14.0,12.8,14.0,12.8,2530000,0.0937,1.0
2020-07-28,12.8,12.0,12.9,12.0,1740000,0.0667,1.0
2020-07-27,12.0,11.5,12.1,11.5,698280,0.0435,1.0
2020-07-26,11.5,11.7,11.8,11.4,683010,-0.0171,1.0
